"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"172","ASV_172","High","1925416","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Salpingacantha","Salpingacantha undata"
"173","ASV_173","Low","2046356","Eukaryota","Bacillariophyta","Fragilariophyceae","Licmophorales","Ulnariaceae","Ctenophora","Ctenophora sp. (in: diatoms)"
"174","ASV_174","Low","1497510","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros gelidus"
"175","ASV_175","None","None",NA,NA,NA,NA,NA,NA,NA
"176","ASV_176","Low","72036","Eukaryota","Arthropoda","Hexanauplia","Siphonostomatoida","Caligidae","Lepeophtheirus","Lepeophtheirus salmonis"
"177","ASV_177","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"178","ASV_178","Low","1348343","Eukaryota","Ciliophora","Litostomatea","Cyclotrichida","Mesodiniidae","Askenasia","Askenasia sp. LWW2010032604"
"179","ASV_179","Low","993358","Eukaryota","Ciliophora","Litostomatea","Haptorida","Dileptidae","Dileptus","Dileptus costaricanus"
"180","ASV_180","Low","2777711","Eukaryota","Ciliophora","Prostomatea","Prorodontida","Urotrichidae","Urotricha","Urotricha sp."
"181","ASV_181","None","None",NA,NA,NA,NA,NA,NA,NA
"182","ASV_182","Low","696184","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium paracalkinsi"
"183","ASV_183","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"184","ASV_184","Low","652658","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Protogastrostyla","Protogastrostyla pulchra"
"185","ASV_185","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"186","ASV_186","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"187","ASV_187","Low","339963","Eukaryota","","Cryptophyceae","Kathablepharidacea","Katablepharidaceae","Katablepharis","Katablepharis japonica"
"188","ASV_188","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
"189","ASV_189","None","None",NA,NA,NA,NA,NA,NA,NA
"190","ASV_190","None","None",NA,NA,NA,NA,NA,NA,NA
"191","ASV_191","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"192","ASV_192","None","None",NA,NA,NA,NA,NA,NA,NA
"193","ASV_193","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"194","ASV_194","Low","168745","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Hippopodiidae","Hippopodius","Hippopodius hippopus"
"195","ASV_195","High","420259","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira gravida"
"196","ASV_196","Low","1130404","Eukaryota","Basidiomycota","Agaricomycetes","Polyporales","Incrustoporiaceae","Tyromyces","Tyromyces wynneae"
"197","ASV_197","Low","1386330","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp. MVZ-2013"
"198","ASV_198","None","None",NA,NA,NA,NA,NA,NA,NA
"199","ASV_199","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"200","ASV_200","None","None",NA,NA,NA,NA,NA,NA,NA
"201","ASV_201","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
"202","ASV_202","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"203","ASV_203","None","None",NA,NA,NA,NA,NA,NA,NA
"204","ASV_204","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"205","ASV_205","High","5949","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Stylonychia","Stylonychia lemnae"
"206","ASV_206","Low","1969917","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Salpingella","Salpingella sp."
"207","ASV_207","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"208","ASV_208","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"209","ASV_209","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"210","ASV_210","Low","702563","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Rimostrombidium","Rimostrombidium veniliae"
"211","ASV_211","None","None",NA,NA,NA,NA,NA,NA,NA
"212","ASV_212","Low","339963","Eukaryota","","Cryptophyceae","Kathablepharidacea","Katablepharidaceae","Katablepharis","Katablepharis japonica"
"213","ASV_213","None","None",NA,NA,NA,NA,NA,NA,NA
"214","ASV_214","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"215","ASV_215","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"216","ASV_216","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"217","ASV_217","None","None",NA,NA,NA,NA,NA,NA,NA
"218","ASV_218","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
